Store Name,Category,Product Name,Price,Rating,Number of Reviews,Calories
The Coffee Bean and Tea Leaf,Seasonal Offerings,Lattes|Horchata Latte,0.0,,0,
The Coffee Bean and Tea Leaf,Seasonal Offerings,Iced Lattes|Horchata Iced Latte,0.0,,0,
The Coffee Bean and Tea Leaf,Seasonal Offerings,Horchata Ice Blended® drink,0.0,,0,
The Coffee Bean and Tea Leaf,Seasonal Offerings,Pure Horchata Ice Blended® drink,0.0,,0,
The Coffee Bean and Tea Leaf,Seasonal Offerings,Pastries|Easter Cookie,0.0,,0,260.0
The Coffee Bean and Tea Leaf,Seasonal Offerings,Pastries|Concha,4.17,,0,290.0
The Coffee Bean and Tea Leaf,Food|Baked Goods,Bagels & Spreads|Plain Bagel,0.0,100.0,10,200.0
The Coffee Bean and Tea Leaf,Food|Baked Goods,Bagels & Spreads|Everything Bagel,0.0,92.0,13,240.0
